Model Name,Dataset,Task Type,Alignment Mean,Alignment Error
anthropic_haiku (Log-p),opinionqa,task1,,
anthropic_haiku (TS-Log-p),opinionqa,task1,,
anthropic_opus (V),opinionqa,task1,0.23802988379956747,0.01256276773320443
anthropic_opus (Seq),opinionqa,task1,0.28246386361257647,0.01238569602568304
anthropic_opus (Log-p),opinionqa,task1,,
anthropic_opus (TS-Log-p),opinionqa,task1,,
llama3-70b (V),opinionqa,task1,0.22621363195903454,0.00964621261814233
llama3-70b (Seq),opinionqa,task1,0.3153802145796316,0.012398554522287442
llama3-70b (Log-p),opinionqa,task1,0.4600579237302314,0.013803318363359435
llama3-70b (TS-Log-p),opinionqa,task1,0.41701389077346473,0.014269153677237939
gpt-3.5-turbo-0125 (V),opinionqa,task3_easy_hard,0.2803242849249942,0.013436127209776327
gpt-3.5-turbo-0125 (Seq),opinionqa,task3_easy_hard,0.33932017893250105,0.0155359818632467
gpt-3.5-turbo-0125 (Log-p),opinionqa,task3_easy_hard,0.5184556222214887,0.015897357976218773
gpt-3.5-turbo-0125 (TS-Log-p),opinionqa,task3_easy_hard,0.27399031602305696,0.010219115124348394
gpt-4 (V),opinionqa,task3_easy_hard,0.17882340001642635,0.00801139512595668
gpt-4 (Seq),opinionqa,task3_easy_hard,0.20423599117110589,0.008943062449846412
gpt-4 (Log-p),opinionqa,task3_easy_hard,0.490722039130702,0.01357559432907604
gpt-4 (TS-Log-p),opinionqa,task3_easy_hard,0.1994871506631319,0.007400208420043297
anthropic_haiku (V),opinionqa,task3_easy_hard,0.19963758750903618,0.010499404579576488
anthropic_haiku (Seq),opinionqa,task3_easy_hard,0.261444079693741,0.011463850892234673
anthropic_haiku (Log-p),opinionqa,task3_easy_hard,,
anthropic_haiku (TS-Log-p),opinionqa,task3_easy_hard,,
anthropic_opus (V),opinionqa,task3_easy_hard,0.14645687782843564,0.007026071209113638
anthropic_opus (Seq),opinionqa,task3_easy_hard,0.24819507511009156,0.010112608111009641
anthropic_opus (Log-p),opinionqa,task3_easy_hard,,
anthropic_opus (TS-Log-p),opinionqa,task3_easy_hard,,
llama3-70b (V),opinionqa,task3_easy_hard,0.21064108061111575,0.011754035494411189
llama3-70b (Seq),opinionqa,task3_easy_hard,0.30024542422337325,0.012243448218229563
llama3-70b (Log-p),opinionqa,task3_easy_hard,0.4443496490700171,0.01466963981874353
llama3-70b (TS-Log-p),opinionqa,task3_easy_hard,0.39286504986009746,0.0142641418934627
gpt-3.5-turbo-0125 (V),nytimes,task0,0.21862097718472348,0.006495285502127218
gpt-3.5-turbo-0125 (Seq),nytimes,task0,0.21504269162404502,0.00614547505942413
gpt-3.5-turbo-0125 (Log-p),nytimes,task0,0.7448502170496197,0.009119513961274472
gpt-3.5-turbo-0125 (TS-Log-p),nytimes,task0,0.3034561897253253,0.007188763495929673
gpt-4 (V),nytimes,task0,0.22977271836508525,0.00619095829241062
gpt-4 (Seq),nytimes,task0,0.21994684833498404,0.006160930240640919
gpt-4 (Log-p),nytimes,task0,0.6887146652730771,0.010424396875621522
gpt-4 (TS-Log-p),nytimes,task0,0.32336986520145844,0.007759086263848025
anthropic_haiku (V),nytimes,task0,0.2646197038571242,0.007487956565459641
anthropic_haiku (Seq),nytimes,task0,0.22574757278610494,0.006657223546103375
anthropic_haiku (Log-p),nytimes,task0,,
anthropic_haiku (TS-Log-p),nytimes,task0,,
anthropic_opus (V),nytimes,task0,0.210362015702706,0.006384360812377032
anthropic_opus (Seq),nytimes,task0,0.31673487500939823,0.010192639878566306
anthropic_opus (Log-p),nytimes,task0,,
anthropic_opus (TS-Log-p),nytimes,task0,,
llama3-70b (V),nytimes,task0,0.23691725663907945,0.00679050183922536
llama3-70b (Seq),nytimes,task0,0.2572848281785496,0.009637701022276166
llama3-70b (Log-p),nytimes,task0,0.6375503673488001,0.009570365029814176
llama3-70b (TS-Log-p),nytimes,task0,0.6062222858922166,0.010973509027470185
gpt-3.5-turbo-0125 (V),nytimes,task1,0.2390799604549713,0.004917277077587989
gpt-3.5-turbo-0125 (Seq),nytimes,task1,0.22634871346313054,0.005078355195437451
gpt-3.5-turbo-0125 (Log-p),nytimes,task1,0.47335877028942613,0.008320635536816723
gpt-3.5-turbo-0125 (TS-Log-p),nytimes,task1,0.24440264914752113,0.004532619438732635
gpt-4 (V),nytimes,task1,0.24820685556063707,0.005865910120072579
gpt-4 (Seq),nytimes,task1,0.26351596933694704,0.00618782197150497
gpt-4 (Log-p),nytimes,task1,0.6822751213599044,0.007043651278133833
gpt-4 (TS-Log-p),nytimes,task1,0.3294692475410714,0.006683756490424353
anthropic_haiku (V),nytimes,task1,0.29684482883574914,0.005822496901604052
anthropic_haiku (Seq),nytimes,task1,0.3552621084198586,0.008395111346215983
anthropic_haiku (Log-p),nytimes,task1,,
anthropic_haiku (TS-Log-p),nytimes,task1,,
anthropic_opus (V),nytimes,task1,0.2849157326300902,0.006532195078413655
anthropic_opus (Seq),nytimes,task1,0.4829834047482076,0.007135059998954002
anthropic_opus (Log-p),nytimes,task1,,
anthropic_opus (TS-Log-p),nytimes,task1,,
llama3-70b (V),nytimes,task1,0.2572139384308134,0.005726735082744017
llama3-70b (Seq),nytimes,task1,0.35921881016344603,0.007698866787465258
llama3-70b (Log-p),nytimes,task1,0.5246918333948097,0.007551232067092739
llama3-70b (TS-Log-p),nytimes,task1,0.4296219122123911,0.008672001399973539
gpt-3.5-turbo-0125 (V),nytimes,task3_easy_hard,0.22643761356144412,0.004563534634881322
gpt-3.5-turbo-0125 (Seq),nytimes,task3_easy_hard,0.2282631765610061,0.004913859868416803
gpt-3.5-turbo-0125 (Log-p),nytimes,task3_easy_hard,0.5166682070104526,0.007222097907384428
gpt-3.5-turbo-0125 (TS-Log-p),nytimes,task3_easy_hard,0.20945475318751403,0.004575085993724581
gpt-4 (V),nytimes,task3_easy_hard,0.20819679390696832,0.004665575242291095
gpt-4 (Seq),nytimes,task3_easy_hard,0.24294886664263624,0.004737147830028612
gpt-4 (Log-p),nytimes,task3_easy_hard,0.6494286032557326,0.0067509348372860045
gpt-4 (TS-Log-p),nytimes,task3_easy_hard,0.2847376915174525,0.005517978904322901
anthropic_haiku (V),nytimes,task3_easy_hard,0.22063583815781806,0.004617179560560805
anthropic_haiku (Seq),nytimes,task3_easy_hard,0.24787793274021425,0.005201445659445275
anthropic_haiku (Log-p),nytimes,task3_easy_hard,,
anthropic_haiku (TS-Log-p),nytimes,task3_easy_hard,,
anthropic_opus (V),nytimes,task3_easy_hard,0.2070781787368931,0.00421513943202316
anthropic_opus (Seq),nytimes,task3_easy_hard,0.33435631414123107,0.006883087803889909
anthropic_opus (Log-p),nytimes,task3_easy_hard,,
anthropic_opus (TS-Log-p),nytimes,task3_easy_hard,,
llama3-70b (V),nytimes,task3_easy_hard,0.20758650935332137,0.0041543451200541925
llama3-70b (Seq),nytimes,task3_easy_hard,0.3050096086245993,0.005939662895097675
llama3-70b (Log-p),nytimes,task3_easy_hard,0.628599698048374,0.00723405127612603
llama3-70b (TS-Log-p),nytimes,task3_easy_hard,0.5925034035309591,0.009145729075233477
gpt-3.5-turbo-0125 (V),globalvalues,task0,,
gpt-3.5-turbo-0125 (Seq),globalvalues,task0,,
gpt-3.5-turbo-0125 (Log-p),globalvalues,task0,,
gpt-3.5-turbo-0125 (TS-Log-p),globalvalues,task0,,
gpt-4 (V),globalvalues,task0,,
gpt-4 (Seq),globalvalues,task0,,
gpt-4 (Log-p),globalvalues,task0,,
gpt-4 (TS-Log-p),globalvalues,task0,,
anthropic_haiku (V),globalvalues,task0,,
anthropic_haiku (Seq),globalvalues,task0,,
anthropic_haiku (Log-p),globalvalues,task0,,
anthropic_haiku (TS-Log-p),globalvalues,task0,,
anthropic_opus (V),globalvalues,task0,,
anthropic_opus (Seq),globalvalues,task0,,
anthropic_opus (Log-p),globalvalues,task0,,
anthropic_opus (TS-Log-p),globalvalues,task0,,
llama3-70b (V),globalvalues,task0,,
llama3-70b (Seq),globalvalues,task0,,
llama3-70b (Log-p),globalvalues,task0,,
llama3-70b (TS-Log-p),globalvalues,task0,,
gpt-3.5-turbo-0125 (V),globalvalues,task1,0.3970304927008693,0.023813418859521124
gpt-3.5-turbo-0125 (Seq),globalvalues,task1,0.43246295141593266,0.021075851179637034
gpt-3.5-turbo-0125 (Log-p),globalvalues,task1,0.44633325884458613,0.027138476942989903
gpt-3.5-turbo-0125 (TS-Log-p),globalvalues,task1,0.4209448154286863,0.02170772398968815
gpt-4 (V),globalvalues,task1,0.3197381891668978,0.021399303830246685
gpt-4 (Seq),globalvalues,task1,0.37675530005479996,0.028097587266513874
gpt-4 (Log-p),globalvalues,task1,0.5088650318994349,0.03384117963358596
gpt-4 (TS-Log-p),globalvalues,task1,0.3248121907260003,0.02333225238462064
anthropic_haiku (V),globalvalues,task1,0.3322281575572174,0.023422832363326207
anthropic_haiku (Seq),globalvalues,task1,0.37460826953199133,0.021065592077639445
anthropic_haiku (Log-p),globalvalues,task1,,
anthropic_haiku (TS-Log-p),globalvalues,task1,,
anthropic_opus (V),globalvalues,task1,0.27393593012734346,0.020836247955559856
anthropic_opus (Seq),globalvalues,task1,0.33866783584990384,0.027333504659060898
anthropic_opus (Log-p),globalvalues,task1,,
anthropic_opus (TS-Log-p),globalvalues,task1,,
llama3-70b (V),globalvalues,task1,0.3271130435111994,0.022593288656165833
llama3-70b (Seq),globalvalues,task1,0.3786226470922294,0.029460390059093094
llama3-70b (Log-p),globalvalues,task1,0.4606396065111859,0.028999021780097417
llama3-70b (TS-Log-p),globalvalues,task1,0.5469331390683734,0.0336665956806565
gpt-3.5-turbo-0125 (V),globalvalues,task3_easy_hard,0.3143373188165383,0.026963518752237875
gpt-3.5-turbo-0125 (Seq),globalvalues,task3_easy_hard,0.3667660177698083,0.028371777809056864
gpt-3.5-turbo-0125 (Log-p),globalvalues,task3_easy_hard,0.439644396357067,0.03093034348170212
gpt-3.5-turbo-0125 (TS-Log-p),globalvalues,task3_easy_hard,0.3319722911963921,0.023983639203843915
gpt-4 (V),globalvalues,task3_easy_hard,0.2380143282092959,0.023879899623424836
gpt-4 (Seq),globalvalues,task3_easy_hard,0.33980387315833627,0.03143217490930145
gpt-4 (Log-p),globalvalues,task3_easy_hard,0.4608181160369077,0.031545451065909474
gpt-4 (TS-Log-p),globalvalues,task3_easy_hard,0.2788441447380072,0.021657824130910358
anthropic_haiku (V),globalvalues,task3_easy_hard,0.2530242111361507,0.022134845661926222
anthropic_haiku (Seq),globalvalues,task3_easy_hard,0.3268884684698883,0.023342834934654916
anthropic_haiku (Log-p),globalvalues,task3_easy_hard,,
anthropic_haiku (TS-Log-p),globalvalues,task3_easy_hard,,
anthropic_opus (V),globalvalues,task3_easy_hard,0.2075542098918054,0.02042206920210468
anthropic_opus (Seq),globalvalues,task3_easy_hard,0.26539074965677867,0.025717110699205903
anthropic_opus (Log-p),globalvalues,task3_easy_hard,,
anthropic_opus (TS-Log-p),globalvalues,task3_easy_hard,,
llama3-70b (V),globalvalues,task3_easy_hard,0.2345721431372666,0.022649106296256022
llama3-70b (Seq),globalvalues,task3_easy_hard,0.31321079766858306,0.027293174276039445
llama3-70b (Log-p),globalvalues,task3_easy_hard,0.44917748569128346,0.030913284505554167
llama3-70b (TS-Log-p),globalvalues,task3_easy_hard,0.4350783502576655,0.03166658916799056
simulated,opinionqa,ground_truth,0.13620313551955737,0.011196051581969874
simulated,nytimes,ground_truth,0.1153530492109428,0.0006643137807466129
simulated,globalvalues,ground_truth,0.09256979371130569,0.0041313130682565785
simulated,opinionqa,uniform,0.3813961073874656,0.008636686248998549
simulated,nytimes,uniform,0.22328228202266467,0.006052192031132442
simulated,globalvalues,uniform,0.4851182073291012,0.01823520325288111
simulated,opinionqa,LB1,0.7307856594917483,0.016379561507887774
simulated,nytimes,LB1,0.7110361497466792,0.008787438024369654
simulated,globalvalues,LB1,0.6932495688432375,0.03318669748399511
simulated,opinionqa,LB2,0.8375054718795021,0.015516268151444024
simulated,nytimes,LB2,0.8388463889452279,0.007742712078872116
simulated,globalvalues,LB2,0.8546027930008528,0.028292844303497156
gpt-3.5-turbo-0125 (V),both,task1_task3,0.25934330869531047,0.004694833743284138
gpt-3.5-turbo-0125 (Seq),both,task1_task3,0.2778849567570903,0.0050885868626571185
gpt-3.5-turbo-0125 (Log-p),both,task1_task3,0.461935288083585,0.0059940945603198514
gpt-3.5-turbo-0125 (TS-Log-p),both,task1_task3,0.25637798338087814,0.0036323195249259865
gpt-4 (V),both,task1_task3,0.20405823959101185,0.0033486036579153944
gpt-4 (Seq),both,task1_task3,0.23740658611262497,0.0035267646510930423
gpt-4 (Log-p),both,task1_task3,0.5824820495482207,0.005176777337235927
gpt-4 (TS-Log-p),both,task1_task3,0.2595297645615502,0.003274934526518919
anthropic_haiku (V),both,task1_task3,0.23470860576388275,0.004167225136533101
anthropic_haiku (Seq),both,task1_task3,0.28732003963127567,0.004933941062472635
anthropic_haiku (Log-p),both,task1_task3,,
anthropic_haiku (TS-Log-p),both,task1_task3,,
anthropic_opus (V),both,task1_task3,0.2190947081298311,0.00438156210225725
anthropic_opus (Seq),both,task1_task3,0.33710466994970784,0.0047951282651930716
anthropic_opus (Log-p),both,task1_task3,,
anthropic_opus (TS-Log-p),both,task1_task3,,
llama3-70b (V),both,task1_task3,0.2254719200017728,0.004160585969002983
llama3-70b (Seq),both,task1_task3,0.31997898151491927,0.005157400614708624
llama3-70b (Log-p),both,task1_task3,0.5144269813216585,0.005607154884160803
llama3-70b (TS-Log-p),both,task1_task3,0.4582022252242408,0.006427594051908847
human,both,task1_task3,0.24656036590520825,0.004522254550590993
