Year,Summary,Title and Author,Genre
2018,"This eloquent novel, Edugyan’s third, is a daring work of empathy and imagination, featuring a Barbados slave boy in the 1830s who flees barbaric cruelty in a hot-air balloon and embarks on a life of adventure that is wondrous, melancholy and strange.",Washington Black By Esi Edugyan,Historical Fiction
2018,"For his latest book, Bauer, an investigative journalist, went undercover as a guard at a private prison in Louisiana. His alarming, riveting exposé portrays a multibillion-dollar industry plagued by violence, corruption, deprivation and incompetence.",American Prison By Shane Baue,Investigative Reporting
2018,"This harrowing memoir recounts the author’s upbringing in a survivalist Idaho family cursed by ideological mania and outlandish physical trauma, as well as her ultimately successful quest to obtain the education denied her as a child.",Educated By Tara Westover,Memoir
2018,"Blight’s monumental biography of the man who was the most famous African-American of the 19th century gives us not only the career but also the context that allowed Douglass to enter the White House as an adviser to Abraham Lincoln. And unlike Douglass’s own autobiographies, this book takes us inside the Douglass household to show us his complex relationship with the women in his life.",Frederick Douglass By David W. Blight,Nonfiction
2018,"Pollan writes about new research into psychedelics and how they can reduce trauma. He also describes, in sometimes remarkable ways, how he experienced his own trips.",How To Change Your Mind By Michael Pollan,Science
2018,"Brennan-Jobs’s memoir of an unstable childhood at the mercy of her depressed, volatile and chronically impoverished mother, on the one hand, and her famous, wealthy and emotionally abusive father, on the other, is a luminous, if deeply disturbing, work of art.",Small Fry By Lisa Brennan-Jobs,Memoir
2017,Smith’s ingenious novel is about the friendship between a 101-year-old man and a 32-year-old woman in Britain after the Brexit vote.,Autumn By Ali Smith,Fiction
2017,The new novel by the author of “The Reluctant Fundamentalist” and “How to Get Filthy Rich in Rising Asia” mixes global unrest with a bit of the fantastic.,Exit West By Mohsin Hamid,Experimental Fiction
2017,This stunning novel chronicling four generations of an ethnic Korean family in Japan is about outsiders and much more.,Pachinko By Min Jin Lee,Historical Fiction
2017,"In this fierce and unsettling novel, the ability to generate a dangerous electrical force from their bodies lets women take control, resulting in a vast, systemic upheaval of gender dynamics across the globe.",The Power By Naomi Alderman,Speculative Fiction
2017,"Ward’s novel, which won the National Book Award, combines aspects of the American road novel and the ghost story with an exploration of the long aftershocks of a hurricane.","Sing, Unburied, Sing By Jesmyn Ward",Fiction
2017,A mild-mannered ornithologist and expert on the evolution of feathers makes an impassioned case for the importance of Darwin’s second theory as his most radical and feminist.,The Evolution Of Beauty By Richard O. Prum,History
2017,"Chernow gives us a Grant for our time, recounting not only the victories of the general but also the challenges of a president who fought against the K.K.K.",Grant By Ron Chernow,Biography
2017,A masterly account of how a generation of black elected officials wrestled with crises of violence and drug use by unleashing the brutal power of the criminal justice system on their constituents.,Locking Up Our Own By James Forman Jr,Investigative Reporting
2017,This thoroughly researched biography of the “Little House” author perceptively captures Wilder’s extraordinary life and legacy.,Prairie Fires By Caroline Fraser,Biography
2017,"The poet’s memoir is fueled by a great character: her father, a rare married Catholic priest, a big bear of a man fond of guns, cream liqueurs and pork rinds.",Priestdaddy By Patricia Lockwood,Memoir
2016,"Mahajan’s smart, devastating novel traces the fallout over time of a terrorist attack at a market in Delhi.",The Association Of Small Bombs By Karan Mahajan,Fiction
2016,"In McGuire’s darkly brilliant novel, the crew of a doomed whaling ship bound for the Arctic Circle must reckon with fierce weather, pure evil, and the shadows of Melville and Conrad.",The North Water By Ian Mcguire,Historical Fiction
2016,"Whitehead’s well-built, stunningly daring novel turns the historical freedom network from metaphor to reality, complete with tracks, locomotives and platforms. The winner of this year’s National Book Award for fiction.",The Underground Railroad By Colson Whitehead,Historical Fiction
2016,This novella in three parts is both thriller and parable. The winner of the 2016 Man Booker International Prize.,The Vegetarian By Han Kang,Fiction
2016,"A masterly novel about memory, art, love and war, based on the author’s grandfather’s notebooks.",War And Turpentine By Stefan Hertmans,Fiction
2016,A lucid joint portrait of the writers and philosophers who embodied existentialism.,At The Existentialist Café By Sarah Bakewell,Philosophy
2016,A formidable account of how the Koch brothers and their allies have bought their way to political power.,Dark Money By Jane Maye,Investigative Reporting
2016,A sociologist shows what the lack of affordable housing means as he portrays the desperate lives of people who spend most of their incomes in rent.,Evicted By Matthew Desmond,Sociology
2016,"Faludi offers a rich and ultimately generous investigation of her long-estranged father, who suddenly contacted her from his home in Hungary after undergoing gender-reassignment surgery at the age of 76.",In The Darkroom By Susan Faludi,Memoir
2016,"In this extraordinary memoir-cum-family history, Matar describes his search for his father, who disappeared into a Libyan prison in 1990.",The Return By Hisham Matar,Memoir
2015,Szabo’s haunting 1987 novel examines the bonds between two very different women in Communist Hungary.,The Door By Magda Szabo,Fiction
2015,"In these unadorned linked stories, Berlin examines women under duress and figures on America’s fringes.",A Manual For Cleaning Women Lucia Berlin. Edited By Stephen Emerson,Short Stories
2015,"Cusk’s heartbreaking portrait of poise, sympathy, regret and rage suggests a powerful alternate route for the biographical novel.",Outline By Rachel Cusk,Fiction
2015,Beatty’s satire breaks open the private jokes and secrets of blackness in a way that feels powerful and profane but not escapist.,The Sellout By Paul Beatty,Satire
2015,Friends confront age and the questions of life’s meaning in the stunning final book of this brilliant series.,The Story Of The Lost Child By Elena Ferrante,Fiction
2015,"With brilliant insight, Coates warns his teenage son about the apparent permanence of racial injustice and the danger of believing one person can make a change.",Between The World And Me By ­Ta-­Nehisi Coates,Essays
2015,A Harvard historian shows how every stage of the industrialization of cotton rested on ­violence.,Empire Of Cotton By Sven Beckert,History
2015,A breathtaking account of the raising and training of a young ­goshawk illuminates two complex natures: the ­author’s and the bird’s.,H Is For Hawk By Helen Macdonald,Memoir
2015,Wulf offers a highly readable account of the German scientist’s monumental journey in the Americas.,The Invention Of Nature By Andrea Wulf,Biography
2015,An exploration of the dark side of Scandinavia today.,One Of Us By Asne Seier­Stad,Nonfiction
2014,"The paths of a blind French girl and an orphaned German boy converge in this novel, set around the time of World War II.",All The Light We Cannot See By Anthony Doerr,Historical Fiction
2014,"Building its story from fragments, observations, meditations and different points of view, Offill’s cannily paced second novel charts the course of a marriage.",Dept. Of Speculation By Jenny Offill,Fiction
2014,King’s novel turns an episode in the life of Margaret Mead into a taut tale of competing egos and desires in a landscape of exotic menace.,Euphoria By Lily King,Historical Fiction
2014,"Sharma’s novel, deeply unnerving and tender at the core, charts a young man’s struggles to grow within a family shattered by tragedy and disoriented by its move from India.",Family Life By Akhil Sharma,Fiction
2014,"Twelve stories by a former Marine who served in Iraq capture on an intimate scale the ways in which the war there evoked a unique array of emotion, predicament and heartbreak.",Redeployment By Phil Klay,Short Stories
2014,"This scorchingly honest, achingly wistful graphic memoir looks at the last years of Chast’s nonagenarian parents.",Can'T We Talk About Something More Pleasant? Written And Illustrated By Roz Chast,Nonfiction
2014,"Drawing on science, myth and literature, Biss spellbindingly examines the psychological fog of fear that surrounds immunization today.",On Immunity By Eula Biss,Science
2014,"In this delicate portrait, Lee takes on the challenge of an elusive late-bloomer — the great novelist and biographer who published her first book at 58 and became famous at 80.",Penelope Fitzgerald By Hermione Lee,Biography
2014,A powerful examination of the role of man-made climate change in causing the current spasm of plant and animal loss that threatens the planet.,The Sixth Extinction By Elizabeth Kolbert,Science
2014,How marathon sessions of bare-knuckle diplomacy forged a framework for peace between Israel and Egypt in 1978.,Thirteen Days In September By Lawrence Wright,"Narrative Nonfiction, History"
2013,"This witheringly trenchant novel scrutinizes blackness in America, Nigeria and Britain.",Americanah By Chimamanda Ngozi Adichie,Fiction
2013,"In Kushner’s frequently dazzling second novel, an impressionable artist navigates the volatile worlds of New York and Rome in the 1970s.",The Flamethrowers By Rachel Kushner,Fiction
2013,"The “Goldfinch” of the title of Tartt’s smartly written Dickensian novel is a painting smuggled through the early years of a boy’s life — his prize, his guilt and his burden.",The Goldfinch By Donna Tartt,Fiction
2013,"Atkinson’s heroine, born in 1910, keeps dying and dying again, as she experiences the alternate courses her destiny might have taken.",Life After Life By Kate Atkinson,Experimental Fiction
2013,Saunders’s relentless humor and beatific generosity of spirit keep his highly moral tales from succumbing to life’s darker aspects.,Tenth Of December By George Saunders,Short Stories
2013,The former Fed vice chairman says confidence would have returned faster with better government communication about policy.,After The Music Stopped By Alan S. Blinder,Nonfiction
2013,Baker’s treatment of the George W. Bush administration is haunted by the question of who was in charge.,Days Of Fire By Peter Baker,History
2013,The case of a surgeon suspected of euthanizing patients during the Katrina disaster.,Five Days At Memorial By Sheri Fink,"Narrative Nonfiction, Investigative Reporting"
2013,"A Cambridge professor offers a thoroughly comprehensible account of the polarization of a continent, without fixing guilt on one leader or nation.",The Sleepwalkers By Christopher Clark,History
2013,"Deraniyagala’s unforgettable account of her struggle to carry on living after her husband, sons and parents were killed in the 2004 tsunami isn’t only as unsparing as they come, but also defiantly imbued with light.",Wave By Sonali Deraniyagala,Memoir
2012,"Mantel’s sequel to “Wolf Hall” traces the fall of Anne Boleyn, and makes the familiar story fascinating and suspenseful again.",Bring Up The Bodies By Hilary Mantel,Historical Fiction
2012,"A big, sturdy box containing hard-bound volumes, pamphlets and a tabloid houses Ware’s demanding, melancholy and magnificent graphic novel about the inhabitants of a Chicago building.",Building Stories By Chris Ware,Graphic Novel
2012,"Eg­gers’s novel is a haunting and supremely readable parable of America in the global economy, a nostalgic lament for a time when life had stakes and people worked with their hands.",A Hologram For The King By Dave Eggers,Fiction
2012,"The lives of two friends who grew up in a northwest London housing project diverge, illuminating questions of race, class, sexual identity and personal choice, in Smith’s energetic modernist novel.",Nw By Zadie Smith,Fiction
2012,A young private and his platoon struggle through the war in Iraq but find no peace at home in this powerful and moving first novel about the frailty of man and the brutality of war.,The Yellow Birds By Kevin Powers,Fiction
2012,This extraordinary moral inquiry into life in an Indian slum shows the human costs exacted by a brutal social Darwinism.,Behind The Beautiful Forevers By Katherine Boo,Narrative Nonfiction
2012,This passionate and affecting work about what it means to be a parent is based on interviews with families of “exceptional” children.,Far From The Tree By Andrew Solomon,Narrative Nonfiction
2012,"The fourth volume of Caro’s magisterial work spans the five years that end shortly after Kennedy’s assassination, as Johnson prepares to push for a civil rights act.",The Passage Of Power By Robert A. Caro,"Biography, History"
2012,"This riveting history captures the sweep of Kennedy’s life — as Wall Street speculator, moviemaker, ambassador and dynastic founder.",The Patriarch By David Nasaw,"Biography, History"
2012,An elegant and witty writer converses with philosophers and cosmologists who ponder why there is something rather than nothing.,Why Does The World Exist By Jim Holt,Philosophy
2011,"A meditation on memory, loss, free will and necessity, King’s novel sends a teacher back to 1958 by way of a time portal in a Maine diner. His assignment is to stop Lee Harvey Oswald — but first he must make sure of Oswald’s guilt.",11/22/63 By Stephen King,Thriller
2011,"This allusive first novel, about a gifted but vulnerable baseball player, proceeds with a handsome stateliness.",The Art Of Fielding By Chad Harbach,Fiction
2011,"Russell’s exuberant first novel, an expansion of her story “Ava Wrestles the Alligator,” concerns the pleasures and miseries of life in a failing theme park in the Everglades.",Swamplandia! By Karen Russell,Fiction
2011,"Henderson’s fierce, elegiac novel follows a group of friends, lovers, parents and children through the straight-edge music scene and the early days of the AIDS epidemic.",Ten Thousand Saints By Eleanor Henderson,Fiction
2011,"In her first novel, Obreht uses fable and allegory to illustrate the complexities of Balkan history, unearthing the region’s patterns of suspicion, superstition and everyday violence.",The Tiger'S Wife By Téa Obreht,Speculative Fiction
2011,"Hitchens’s esophageal cancer inevitably throws a shadow over this spirited, provocative, prodigiously witty collection.",Arguably By Christopher Hitchens,Essays
2011,The truth Brown learns from his severely disabled child is a rare one: the life that seems to destroy you is the one you long to embrace.,The Boy In The Moon By Ian Brown,Memoir
2011,This careful biography presents a more complete and unvarnished version of its subject’s life than the one found in “The Autobiography.”,Malcolm X By Manning Marable,Biography
2011,"Kahneman, a psychologist who won the Nobel in economic science in 2002, presents a lucid and profound vision of flawed human reason in a book full of intellectual surprises and self-help value.","Thinking, Fast And Slow By Daniel Kahneman",Science
2011,"While Union and Confederate guns blazed, a battle was also being waged for English hearts and minds, at both the elite and popular levels.",A World On Fire By Amanda Foreman,History
2010,"Like Franzen’s previous novel, “The Corrections,” this is a masterly portrait of a nuclear family in turmoil, with an intricately ordered narrative and a majestic sweep that seems to gather up every fresh datum of our shared millennial life.",Freedom By Jonathan Franzen,Fiction
2010,This collection of tales dating back to 1974 lets readers imagine their way into a New Yorker fiction editor’s moment of discovery.,The New Yorker Stories By Ann Beattie,Short Stories
2010,"Donoghue’s remarkable novel is narrated by a 5-year-old boy, whose entire world is the 11-by-11-foot room in which his mother is being held against her will.",Room By Emma Donoghue,Fiction
2010,"These stories, gathered from Trevor’s last four collections, are frequently melancholy, concerned with loss and disappointment, but warmed with radiant moments of grace or acceptance.",Selected Stories By William Trevor,Fiction
2010,"In her centrifugal, unclassifiably elaborate narrative, Egan creates a set of characters with assorted links to the music business and lets time have its way with them.",A Visit From The Goon Squad By Jennifer Egan,Fiction
2010,"The question of classical ballet’s very survival lies at the heart of this eloquent, truly definitive history, which traces dance across four centuries of wars and revolutions, both artistic and political.",Apollo'S Angels By Jennifer Homans,Art
2010,"It’s dizzying to contemplate the ancient thicket of personalities and propaganda Schiff penetrates to show the Macedonian-Egyptian queen in all her ambition, audacity and formidable intelligence.",Cleopatra By Stacy Schiff,"Biography, History"
2010,"Mukherjee’s powerful and ambitious history of cancer and its treatment is an epic story he seems compelled to tell, like a young priest writing a biography of Satan.",The Emperor Of All Maladies By Siddhartha Mukherjee,Science
2010,Sondheim’s analysis of his songs and those of others is both stinging and insightful.,Finishing The Hat By Stephen Sondheim,Music
2010,This consummate account of the exodus of blacks from the South between 1915 and 1970 explores parallels with earlier European immigration.,The Warmth Of Other Suns By Isabel Wilkerson,History
2009,"Meloy’s calm, intelligent prose renders her stories’ self-sabotaging characters — lawyers, unfaithful spouses, eccentric older women, Montanans — eminently understandable.",Both Ways Is The Only Way I Want It By Maile Meloy,Fiction
2009,"Beneath the gaudy makeup of this dancing showgirl of a novel, set in an alternate-reality Manhattan, is the girl next door: a traditional bildungsroman with a strong moral compass.",Chronic City By Jonathan Lethem,Fiction
2009,"Moore’s latest novel, about a Midwestern college student who hires on as a nanny for a brainy couple on the eve of adoption, brandishes some big material — war, racism — in a resolutely insouciant key.",A Gate At The Stairs By Lorrie Moore,Fiction
2009,"Assuming her maternal grandmother’s voice, Walls, the author of “The Glass Castle,” recreates an adrenaline-charged existence on the rough-and-tumble Southwest frontier.",Half Broke Horses By Jeannette Walls,Fiction
2009,"Improbably, this spare and wrenching novel lives up to its name, hopscotching through time and alternating among the lives of a British suffragist and her descendants.",A Short History Of Women By Kate Walbert,Fiction
2009,The twin energies of scientific curiosity and poetic invention pulsate through this study of “the second scientific revolution.”,The Age Of Wonder By Richard Holmes,History
2009,Finkel’s harrowing chronicle of modern combat is based on the eight months he spent with an Army battalion in Iraq.,The Good Soldiers By David Finkel,Nonfiction
2009,"Despite the deep seriousness of the topics here — motherhood, disintegrating marriage, alcoholism, depression, God — nothing can keep Karr from being funny.",Lit By Mary Karr,Memoir
2009,"In a sweeping narrative built around four powerful central bankers, Ahamed describes the cascading series of events that led to the Great Depression.",Lords Of Finance By Liaquat Ahamed,History
2009,"Sklenicka’s biography is invaluable as a chronicle of Carver’s growth as a writer, particularly in its account of his difficult, ultimately poisonous relationship with the editor Gordon Lish.",Raymond Carver By Carol Sklenicka,Biography
2008,"The five autonomous sections of this posthumously published novel interlock to form an astonishing whole, a supreme capstone to Bolaño’s vaulting ambition.",2666 By Roberto Bolaño,Fiction
