,QDem_Gend,QDem_Race,Q_DemRepub,QDem_Income,Q84,QDem_Age
100,Female,Black or African American,Democrat,"$30,000 - $99,999",6629a708e30b5a09ed88725a,52
101,Female,White or Caucasian American,Democrat,"$100,000 or more",5eb38fe1a71e35178362f333,22
102,Male,White or Caucasian American,Democrat,"Less than $30,000",5bfc4058bab673000163c8af,47
103,Other,Hispanic or Latino,Democrat,"$30,000 - $99,999",6653630d3d737225802ccfad,28
104,Female,White or Caucasian American,Democrat,"$100,000 or more",61501cb61a74bfb111a98657,43
105,Female,Hispanic or Latino,Other (please specify),"Less than $30,000",6329bc8f80d4501faf9bbdc6,22
106,Male,White or Caucasian American,Democrat,"$100,000 or more",608f5fcf8b9cb06707db54f1,21
107,Female,White or Caucasian American,Democrat,"Less than $30,000",663e5cf112f5d047cf5c9fad,28
108,Female,Black or African American,Democrat,"$30,000 - $99,999",664650c4b30683e549406e82,32
109,Male,Black or African American,Democrat,"$30,000 - $99,999",62f4904296e62ae6c19127d4,34
110,Male,White or Caucasian American,Democrat,"$100,000 or more",665392b94b93ffb762409db1,28
111,Other,White or Caucasian American,Democrat,"$30,000 - $99,999",5dffd30cef7f5ebfbc0ab18f,23
112,Male,White or Caucasian American,Democrat,"$100,000 or more",65e5fa6bb18b5f09e6ac8283,34
113,Male,White or Caucasian American,Democrat,"Less than $30,000",65a29cdffc75f965e7fbcdc7,49
114,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",65abe6e3a3cfc6aff384308d,31
115,Female,Hispanic or Latino,Democrat,"$30,000 - $99,999",6501b89da2a5884bd87d1984,40
116,Other,White or Caucasian American,Democrat,"$30,000 - $99,999",6650e04237e2aa9bd22fbfa4,38
117,Female,Asian or Asian American,Democrat,"$30,000 - $99,999",5be49b6b01b0c8000191aa49,24
118,Female,Hispanic or Latino,Democrat,"$30,000 - $99,999",6630f3935b23f12d9b94e29f,41
119,Male,Black or African American,Republican,"Less than $30,000",60883f3787067378cdf11fe1,23
120,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",6107547ba44f133f23a79483,30
121,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",628e196e63bc7ab9e6c6caea,37
122,Female,Asian or Asian American,Democrat,"$30,000 - $99,999",65ce699353a6faecc1d2b125,23
123,Female,White or Caucasian American,Democrat,"Less than $30,000",611c31c77df20ecc6881cc44,67
124,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",5accdfaebf2ab00001aa8215,70
125,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",6643ab42f572827cc37435d3,35
126,Male,Black or African American,Democrat,"$30,000 - $99,999",5c2e2fa00b8ad80001aebf07,24
127,Male,White or Caucasian American,Democrat,"Less than $30,000",5fde840829db956469ee680f,33
128,Female,Asian or Asian American,Democrat,"Less than $30,000",6121874bf9343fff5be07860,30
129,Female,Asian or Asian American,Democrat,"$30,000 - $99,999",65cce77bbc4382242747e097,21
130,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",5c3b6b634b1ed90001bacf13,29
131,Other,White or Caucasian American,Democrat,"$30,000 - $99,999",663e681740ee374f8d488e51,24
132,Female,White or Caucasian American,Democrat,"Less than $30,000",6646cfb40f089007c53b7513,21
133,Male,White or Caucasian American,Democrat,"$100,000 or more",663370d929929eb551563936,50
134,Male,Hispanic or Latino,Democrat,"$30,000 - $99,999",60fd00669dc7524c6361d675,32
135,Female,White or Caucasian American,Democrat,"$100,000 or more",5b0029933c08a1000156662c,31
136,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",661299b4152343f7a76e5874,42
137,Female,White or Caucasian American,Democrat,"$100,000 or more",5eee97f661f27910e541a7b7,23
138,Female,Other (please specify),Democrat,"$30,000 - $99,999",663bfec995e1af340b6f0882,38
139,Female,Black or African American,Democrat,"$30,000 - $99,999",5ec3884fa0c1ef0009b57549,26
140,Female,White or Caucasian American,Democrat,"Less than $30,000",60fe437b48d82d3e7a00cbfb,25
141,Male,Asian or Asian American,Democrat,"$30,000 - $99,999",65ef4b2d78457ecbae861a5c,55
142,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",65366f3f8de0e5841fb4beac,35
143,Female,White or Caucasian American,Democrat,"Less than $30,000",5654c59404212700124a1a4d,35
144,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",5a147e755d06850001b00937,40
145,Female,Black or African American,Democrat,"$30,000 - $99,999",65ebbbc0a6328372037a40c1,49
146,Female,Hispanic or Latino,Democrat,"Less than $30,000",6633a89776af22ceb7e0faf0,36
147,Male,Asian or Asian American,Democrat,"$30,000 - $99,999",6652c43d08992eba0cff0e80,19
148,Female,Other (please specify),Democrat,"$100,000 or more",631f735e13bff4dc1ec03257,22
149,Male,Other (please specify),Democrat,"$30,000 - $99,999",6635586c0457cf99e2d10ab3,22
150,Female,White or Caucasian American,Democrat,"$100,000 or more",6108842c565a855b559c6f38,25
151,Female,White or Caucasian American,Democrat,"$100,000 or more",6627584441ba481b475fb54d,23
152,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",5de876142238367fa02c7e74,34
153,Female,Asian or Asian American,Democrat,"$30,000 - $99,999",65cea6ad9ea5e82db580e2e8,23
154,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",65e620755c94c6dc0b7531c8,44
155,Other,White or Caucasian American,Democrat,"$30,000 - $99,999",662bfeb6ccdece1f7fbd1be8,51
156,Female,White or Caucasian American,Democrat,"Less than $30,000",652e2bd923d23c34ce1e7734,39
157,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",663398a5d3490d8fe4ee0bca,37
158,Female,Hispanic or Latino,Democrat,"$100,000 or more",6564d00be525798abc35b595,30
159,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",66293b82d5719383422566de,51
160,Male,Black or African American,Democrat,"$30,000 - $99,999",6651fd414c819aa01f2cd808,25
161,Other,White or Caucasian American,Democrat,"$30,000 - $99,999",663a5c684765f43ff7465bab,21
162,Male,Black or African American,Democrat,"$30,000 - $99,999",5a791168f49c9a0001f31061,46
163,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",61085372499c75c6eecd405e,20
164,Other,Black or African American,Democrat,"$30,000 - $99,999",610f7244c65ae4e57858a700,23
165,Male,Asian or Asian American,Democrat,"$100,000 or more",5ef246f8ac1cd908a674a2d3,25
166,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",568e7f66e3ef9e000ba1a089,65
167,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",601b34704879f64ced8bbce4,27
168,Female,Black or African American,Democrat,"$30,000 - $99,999",6588dd40f817f93597ae11cc,28
169,Male,Black or African American,Democrat,"Less than $30,000",6647ef64f2370506766ca6d2,32
170,Female,Black or African American,Democrat,"Less than $30,000",663a7a0af9ef5d31ca1f0a9c,23
171,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",662957e42567ec44f34bbeed,54
172,Female,White or Caucasian American,Democrat,"$100,000 or more",6647d7df147bd407b2dae3ab,24
173,Female,Asian or Asian American,Democrat,"$30,000 - $99,999",610cbef5e2780c8538a75d0f,23
174,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",5c3ebb97b3369c0001a94fea,38
175,Male,Black or African American,Democrat,"Less than $30,000",5ebca8441a2b811012a6d659,25
176,Male,White or Caucasian American,Republican,"Less than $30,000",612012042e280e07b00c0be5,36
177,Female,White or Caucasian American,Republican,"$30,000 - $99,999",5d295e07d3edf9001a801625,55
178,Female,Hispanic or Latino,Republican,"Less than $30,000",6653904d974360d0c90b6bf8,19
179,Female,White or Caucasian American,Republican,"Less than $30,000",664e7e50cc2f56fd62fe1f9e,28
180,Female,White or Caucasian American,Republican,"$30,000 - $99,999",664d68084aff042dd5ad8ef5,58
181,Female,White or Caucasian American,Republican,"$30,000 - $99,999",6617c8b682fa25050b6a205a,70
182,Male,Black or African American,Republican,"$100,000 or more",664fa18bc74e557c41a61cd7,36
183,Female,White or Caucasian American,Republican,"$30,000 - $99,999",65e4c24edcfff6181de40e11,36
184,Male,Hispanic or Latino,Republican,"$30,000 - $99,999",6653ef0a8083d841281534a5,30
185,Female,White or Caucasian American,Republican,"Less than $30,000",60ed200c728ab881912aac11,33
186,Female,White or Caucasian American,Republican,"$30,000 - $99,999",664f80f517b93cc79c0a7c3e,31
187,Female,Asian or Asian American,Republican,"$30,000 - $99,999",655f8b740012e5f5afe9efae,29
188,Female,White or Caucasian American,Republican,"Less than $30,000",5a8ae4f20f1bce0001224b6b,54
189,Female,White or Caucasian American,Republican,"$100,000 or more",5c9c70f596508100010e5a05,32
190,Female,Asian or Asian American,Republican,"$100,000 or more",63804d105c37525d499b9c6c,60
191,Male,Black or African American,Democrat,"$100,000 or more",6638d20afffea64b4ef38d38,50
192,Female,White or Caucasian American,Republican,"$30,000 - $99,999",65abe02cb3834c258ca07ddd,40
193,Male,White or Caucasian American,Republican,"$30,000 - $99,999",664bdc6276bb805703222538,34
194,Male,Black or African American,Republican,"Less than $30,000",63d7b776a9923fe2a69d36bd,33
195,Female,White or Caucasian American,Republican,"$100,000 or more",66463ff40a36377060b19272,32
196,Male,White or Caucasian American,Republican,"$30,000 - $99,999",5c3d040cc2d0b700017c715b,47
197,Female,Black or African American,Republican,"$30,000 - $99,999",6648e2eadcc05800e89469f2,36
198,Female,Other (please specify),Republican,"$30,000 - $99,999",662fedbb014c0224320c4e41,37
199,Female,White or Caucasian American,Republican,"$30,000 - $99,999",58269803c297cc0001f2d9f9,60
200,Male,Black or African American,Republican,"$100,000 or more",664d96c0550b719c453c9b07,40
201,Male,White or Caucasian American,Republican,"$30,000 - $99,999",581203dd9db7230001b58365,37
202,Male,Black or African American,Republican,"$30,000 - $99,999",55ea70c37480920010aa9982,36
203,Male,White or Caucasian American,Republican,"$30,000 - $99,999",5f233e697cbaef0e3868725a,40
204,Male,White or Caucasian American,Republican,"$30,000 - $99,999",563f36f4cbd4c60005dc936e,30
205,Male,White or Caucasian American,Republican,"$100,000 or more",6369dde997d20e154ecb11a9,25
206,Female,White or Caucasian American,Republican,"$100,000 or more",64b0325fc51b5165a636188d,36
207,Male,Black or African American,Republican,"$30,000 - $99,999",66410da1ad936cfe4f145774,51
208,Female,White or Caucasian American,Democrat,"$100,000 or more",6638e6d2444c7a3fd8cecf2c,42
209,Female,Hispanic or Latino,Republican,"$30,000 - $99,999",660154e5f99cf082f77a591f,38
210,Male,Asian or Asian American,Republican,"$30,000 - $99,999",63dd3dd2593c92be97d8dbde,21
211,Female,Asian or Asian American,Republican,"$30,000 - $99,999",5d61a3001c84fc001780f4ad,24
212,Male,White or Caucasian American,Republican,"$30,000 - $99,999",6564f9246a238173b2ab30a2,64
213,Male,Black or African American,Republican,"$30,000 - $99,999",66046f7689c4f0da055f17c5,52
214,Female,White or Caucasian American,Republican,"Less than $30,000",65d9b9d1a3e1db17a5aea994,43
215,Female,Black or African American,Republican,"$100,000 or more",6610aa19fd6d2becc47a1c70,42
216,Male,Hispanic or Latino,Republican,"$100,000 or more",652d5338854ab0ee391b91df,57
217,Female,Black or African American,Republican,"$30,000 - $99,999",65a5372ee7a6f4f7ed04f2e6,54
218,Female,White or Caucasian American,Republican,"Less than $30,000",5e571601a5b2230d6d2cb29e,31
219,Male,Asian or Asian American,Republican,"$30,000 - $99,999",607778a26ff3de83125f50c5,37
220,Male,White or Caucasian American,Republican,"$100,000 or more",660c4e9b94e93c5840f479b0,31
221,Male,White or Caucasian American,Republican,"$100,000 or more",5df89cab69a117620a70f1ee,39
222,Male,Black or African American,Republican,"$100,000 or more",664930989a37c7daf430333d,39
223,Male,White or Caucasian American,Republican,"Less than $30,000",662574e5b813fe84bd8e3167,28
224,Male,White or Caucasian American,Republican,"$100,000 or more",60bd28cc95ab27d4f4f6ada3,56
225,Female,White or Caucasian American,Republican,"$30,000 - $99,999",615255b4eaef0828fb106792,48
226,Male,White or Caucasian American,Republican,"$30,000 - $99,999",6111a8e5c22c39a1c92edb70,42
227,Male,White or Caucasian American,Republican,"Less than $30,000",6646b97ffc47e75ff47f4786,48
228,Male,White or Caucasian American,Republican,"$30,000 - $99,999",63d72c8302710455d9fe84e0,26
229,Male,White or Caucasian American,Republican,"$30,000 - $99,999",62fbdda6e4b5a034b71296f8,31
230,Female,White or Caucasian American,Republican,"$30,000 - $99,999",6652193ce4b5df0b6b366158,23
231,Male,White or Caucasian American,Republican,"Less than $30,000",5f032c613963d04d69c9327b@email.prolific.com,71
232,Male,White or Caucasian American,Republican,"$30,000 - $99,999",64022fe38cea7158c34de087,39
233,Female,Asian or Asian American,Democrat,"Less than $30,000",6034f019bf26dfcde618e658,30
234,Male,Black or African American,Republican,"$30,000 - $99,999",6365ab361b71daa9f0eed7bd,38
235,Male,White or Caucasian American,Republican,"$30,000 - $99,999",61bb389740db417c1a138cad,61
236,Male,White or Caucasian American,Republican,"$100,000 or more",5f5f457ae16a900375572c32,34
237,Male,Hispanic or Latino,Republican,"$30,000 - $99,999",664d8066db4407ac502a5979,39
238,Male,Hispanic or Latino,Republican,"$30,000 - $99,999",602b456e7cdd702772f52e13,46
239,Female,White or Caucasian American,Republican,"$100,000 or more",5efa12cba7e3ee0b5bce95af,60
240,Male,Black or African American,Republican,"$100,000 or more",663194427a574be95a34eb19,43
241,Male,Hispanic or Latino,Republican,"$30,000 - $99,999",6650fb32b9c2d7fcec77a250,39
242,Male,Black or African American,Republican,"$100,000 or more",661f01a446794f4cbbdbead3,65
243,Female,White or Caucasian American,Democrat,"$100,000 or more",6433027685899f1cfc35e39e,49
244,Male,Black or African American,Republican,"$100,000 or more",65428dce96eb3e35d0744fde,59
245,Female,White or Caucasian American,Republican,"$30,000 - $99,999",648926f6e1043bef25bccc80,54
246,Male,White or Caucasian American,Republican,"$30,000 - $99,999",611e687b8028e22946b055e7,30
247,Female,Black or African American,Republican,"$100,000 or more",6631948bcb3f052ae26e23a0,43
248,Male,Hispanic or Latino,Republican,"$30,000 - $99,999",6650fb32b9c2d7fcec77a250,39
249,Female,White or Caucasian American,Republican,"$30,000 - $99,999",6324d39a34afdb6e1f9e5b59,42
250,Male,Black or African American,Republican,"$30,000 - $99,999",6550a0145270fff774d8ab7d,59
251,Female,Black or African American,Republican,"$100,000 or more",66257b623b56d42c15f3206a,40
252,Female,White or Caucasian American,Republican,"$100,000 or more",660008bd96bb354a39ea7d6d,51
253,Male,Black or African American,Republican,"$30,000 - $99,999",663c7405384330ef74623022,23
254,Female,White or Caucasian American,Republican,"$30,000 - $99,999",62ba066a4093b931382ec48f,60
255,Male,White or Caucasian American,Republican,"$100,000 or more",6547da1a85536ca4306038a8,45
256,Female,White or Caucasian American,Republican,"$100,000 or more",65efc3af58ab9965da4a8a82,50
257,Female,White or Caucasian American,Republican,"$30,000 - $99,999",6605e1b08f442bfb7cfa5c2d,31
258,Female,White or Caucasian American,Republican,"$30,000 - $99,999",663cf60187b6be3c9f1d1956,33
259,Female,White or Caucasian American,Republican,"$30,000 - $99,999",5f2902a9329da32a97e41066,32
260,Female,Asian or Asian American,Republican,"$100,000 or more",63804d105c37525d499b9c6c,60
261,Female,White or Caucasian American,Republican,"$100,000 or more",660860c3e27e544cdd34ecd2,21
262,Male,White or Caucasian American,Republican,"$100,000 or more",662938f7c211f2ac0c67a317,55
263,Female,White or Caucasian American,Republican,"$100,000 or more",5df5174fb1f22238259d486b,35
264,Female,White or Caucasian American,Republican,"Less than $30,000",664e7e50cc2f56fd62fe1f9e,28
265,Male,Hispanic or Latino,Republican,"$100,000 or more",66526ff89d419e456e380c07,31
266,Female,White or Caucasian American,Republican,"Less than $30,000",63d698429453269de520bbb8,30
267,Female,White or Caucasian American,Republican,"$100,000 or more",6654f6eda3b54a98aa1dd784,38
268,Female,White or Caucasian American,Republican,"$100,000 or more",6641329a532fbc1394f8da0f,40
269,Female,White or Caucasian American,Republican,"$30,000 - $99,999",63d79d3661a80dfb21b905d5,40
270,Female,Hispanic or Latino,Republican,"$100,000 or more",6653904d974360d0c90b6bf8,19
271,Male,Hispanic or Latino,Republican,"$30,000 - $99,999",6647e35a6fd9fa329d3dd13d,27
272,Female,Asian or Asian American,Republican,"$30,000 - $99,999",6650ba88f2e4099801ab8357,54
273,Female,White or Caucasian American,Republican,"$30,000 - $99,999",664d68084aff042dd5ad8ef5,58
274,Female,White or Caucasian American,Republican,"$30,000 - $99,999",63da967fb1bbdcf1bfdf1009,27
275,Male,White or Caucasian American,Republican,"$30,000 - $99,999",66451e8c29ca8745033fb5c8,33
276,Female,White or Caucasian American,Republican,"$30,000 - $99,999",663a93fe3e8d9c38e278fe5a,65
277,Female,White or Caucasian American,Republican,"$30,000 - $99,999",651ef8c151256d559cd2fa78,33
278,Female,White or Caucasian American,Republican,"Less than $30,000",5d68c88914867f000139f627,48
279,Female,White or Caucasian American,Republican,"Less than $30,000",6651f040bd648ae9521b3341,35
280,Male,White or Caucasian American,Republican,"$30,000 - $99,999",613bef31a02d0a411cc403a0,53
281,Male,White or Caucasian American,Republican,"$30,000 - $99,999",663e13d7e7d637aa3a4d8128,34
282,Male,White or Caucasian American,Republican,"$100,000 or more",5ed953ff9a8d504d5c451db0,32
283,Male,White or Caucasian American,Republican,"$30,000 - $99,999",6063c0f31b718b3623f66303,54
284,Male,White or Caucasian American,Democrat,"$100,000 or more",6630da61208b8b678a1ec63c,40
285,Male,Hispanic or Latino,Republican,"$30,000 - $99,999",5ffd530863b06e2247f69652,35
286,Female,White or Caucasian American,Republican,"$30,000 - $99,999",66481a6d648519a547aebd68,22
287,Male,White or Caucasian American,Republican,"$30,000 - $99,999",660d6af55f2fd25599db6ebc,46
288,Female,White or Caucasian American,Republican,"$100,000 or more",65dffffe75d0f696a3f29448,41
289,Male,White or Caucasian American,Republican,"$100,000 or more",63d7e87ee7333b219a553295,46
290,Female,White or Caucasian American,Republican,"$30,000 - $99,999",65d7f3dc596f8281d8dab646,47
291,Male,White or Caucasian American,Republican,"$100,000 or more",5f13ea64399eaf40ff6c1b90,23
292,Female,White or Caucasian American,Republican,"Less than $30,000",64915b35f545c521fe30eb7e,62
293,Female,White or Caucasian American,Republican,"$30,000 - $99,999",6601fc84b94a04ea5da12e10,51
294,Male,White or Caucasian American,Republican,"$100,000 or more",66047ae43a0f755c19ae9147,57
